#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.14667000	0.00705000	-0.03634000	-0.07546000	0.08109000	-0.07545000	0.06124000	-0.04186000	0.02083000	-0.00135000	-0.01401000	0.02366000	-0.02707000	0.00000000	0.02476000	-0.01807000	0.00885000	0.00085000	0.00000000	-0.00918000	0.01476000
0.15333000	0.00768000	-0.03918000	-0.08026000	0.08458000	-0.07647000	0.05933000	-0.03728000	0.01447000	0.00545000	-0.01983000	0.02728000	-0.02775000	0.00000000	0.02236000	-0.01313000	0.00245000	0.00733000	0.00000000	-0.01435000	0.01752000
0.16000000	0.00834000	-0.04207000	-0.08499000	0.08774000	-0.07691000	0.05671000	-0.03207000	0.00781000	0.01205000	-0.02486000	0.02958000	-0.02681000	0.00000000	0.01843000	-0.00715000	-0.00418000	0.01305000	0.00000000	-0.01783000	0.01797000
0.16667000	0.00902000	-0.04500000	-0.08963000	0.09055000	-0.07677000	0.05341000	-0.02631000	0.00099000	0.01825000	-0.02889000	0.03045000	-0.02432000	0.00000000	0.01324000	-0.00059000	-0.01042000	0.01740000	0.00000000	-0.01921000	0.01603000
0.17333000	0.00972000	-0.04798000	-0.09416000	0.09299000	-0.07604000	0.04946000	-0.02011000	-0.00583000	0.02385000	-0.03177000	0.02984000	-0.02042000	0.00000000	0.00715000	0.00601000	-0.01572000	0.01995000	0.00000000	-0.01832000	0.01197000
0.18000000	0.01045000	-0.05100000	-0.09856000	0.09504000	-0.07471000	0.04492000	-0.01358000	-0.01248000	0.02868000	-0.03338000	0.02779000	-0.01534000	0.00000000	0.00056000	0.01214000	-0.01958000	0.02042000	0.00000000	-0.01527000	0.00633000
0.18667000	0.01120000	-0.05405000	-0.10282000	0.09667000	-0.07278000	0.03983000	-0.00683000	-0.01879000	0.03259000	-0.03367000	0.02439000	-0.00937000	0.00000000	-0.00607000	0.01731000	-0.02166000	0.01875000	0.00000000	-0.01042000	-0.00016000
0.19333000	0.01198000	-0.05712000	-0.10691000	0.09787000	-0.07028000	0.03425000	0.00001000	-0.02463000	0.03546000	-0.03262000	0.01982000	-0.00285000	0.00000000	-0.01228000	0.02111000	-0.02175000	0.01514000	0.00000000	-0.00434000	-0.00662000
0.20000000	0.01277000	-0.06021000	-0.11083000	0.09864000	-0.06721000	0.02827000	0.00683000	-0.02984000	0.03720000	-0.03028000	0.01429000	0.00383000	0.00000000	-0.01766000	0.02324000	-0.01987000	0.00995000	0.00000000	0.00225000	-0.01221000
0.20667000	0.01359000	-0.06331000	-0.11454000	0.09895000	-0.06360000	0.02194000	0.01350000	-0.03430000	0.03775000	-0.02674000	0.00807000	0.01029000	0.00000000	-0.02184000	0.02352000	-0.01616000	0.00371000	0.00000000	0.00858000	-0.01617000
0.21333000	0.01444000	-0.06643000	-0.11804000	0.09880000	-0.05948000	0.01536000	0.01990000	-0.03791000	0.03711000	-0.02215000	0.00146000	0.01616000	0.00000000	-0.02454000	0.02194000	-0.01098000	-0.00290000	0.00000000	0.01389000	-0.01800000
