#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.81039000	-0.03670000	0.10465000	-0.07831000	-0.02915000	0.00000000	0.12857000	-0.18647000	0.19203000	-0.14825000	0.00000000	0.06950000	0.00000000	0.02434000	-0.11125000	0.00000000	0.17310000	-0.19720000	0.00000000	0.18094000	-0.12737000
0.81662000	-0.03677000	0.10624000	-0.08594000	-0.01617000	0.00000000	0.11536000	-0.17896000	0.19550000	-0.16529000	0.00000000	0.09894000	0.00000000	-0.01224000	-0.07549000	0.00000000	0.14723000	-0.18929000	0.00000000	0.19588000	-0.16551000
0.82286000	-0.03683000	0.10778000	-0.09343000	-0.00309000	0.00000000	0.10129000	-0.16944000	0.19586000	-0.17880000	0.00000000	0.12563000	0.00000000	-0.04837000	-0.03654000	0.00000000	0.11381000	-0.16983000	0.00000000	0.19681000	-0.18994000
0.82909000	-0.03689000	0.10927000	-0.10076000	0.01003000	0.00000000	0.08645000	-0.15801000	0.19312000	-0.18849000	0.00000000	0.14882000	0.00000000	-0.08277000	0.00392000	0.00000000	0.07456000	-0.13998000	0.00000000	0.18359000	-0.19854000
0.83532000	-0.03695000	0.11070000	-0.10791000	0.02316000	0.00000000	0.07094000	-0.14480000	0.18731000	-0.19415000	0.00000000	0.16788000	0.00000000	-0.11426000	0.04416000	0.00000000	0.03152000	-0.10162000	0.00000000	0.15726000	-0.19069000
0.84156000	-0.03701000	0.11208000	-0.11487000	0.03622000	0.00000000	0.05488000	-0.12995000	0.17851000	-0.19564000	0.00000000	0.18226000	0.00000000	-0.14173000	0.08246000	0.00000000	-0.01309000	-0.05710000	0.00000000	0.11970000	-0.16705000
0.84779000	-0.03706000	0.11340000	-0.12163000	0.04917000	0.00000000	0.03838000	-0.11361000	0.16685000	-0.19293000	0.00000000	0.19156000	0.00000000	-0.16420000	0.11716000	0.00000000	-0.05694000	-0.00915000	0.00000000	0.07360000	-0.12953000
0.85403000	-0.03711000	0.11466000	-0.12818000	0.06197000	0.00000000	0.02156000	-0.09596000	0.15252000	-0.18606000	0.00000000	0.19551000	0.00000000	-0.18090000	0.14676000	0.00000000	-0.09775000	0.03926000	0.00000000	0.02233000	-0.08136000
0.86026000	-0.03716000	0.11587000	-0.13449000	0.07454000	0.00000000	0.00452000	-0.07720000	0.13572000	-0.17517000	0.00000000	0.19400000	0.00000000	-0.19123000	0.17000000	0.00000000	-0.13342000	0.08515000	0.00000000	-0.03043000	-0.02654000
0.86649000	-0.03720000	0.11702000	-0.14058000	0.08686000	0.00000000	-0.01260000	-0.05751000	0.11672000	-0.16048000	0.00000000	0.18703000	0.00000000	-0.19479000	0.18582000	0.00000000	-0.16204000	0.12565000	0.00000000	-0.08083000	0.03034000
