#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.88519000	0.16685000	0.01603000	-0.09370000	0.11274000	0.00000000	-0.10322000	0.08794000	-0.07106000	0.05445000	0.00000000	-0.03912000	0.00000000	0.02526000	-0.01324000	0.00000000	0.00303000	0.00542000	0.00000000	-0.01224000	0.01749000
0.89143000	0.16864000	0.01024000	-0.08602000	0.10664000	0.00000000	-0.09979000	0.08719000	-0.07285000	0.05848000	0.00000000	-0.04505000	0.00000000	0.03264000	-0.02167000	0.00000000	0.01209000	-0.00383000	0.00000000	-0.00314000	0.00892000
0.89766000	0.17044000	0.00441000	-0.07812000	0.10003000	0.00000000	-0.09558000	0.08543000	-0.07343000	0.06120000	0.00000000	-0.04965000	0.00000000	0.03880000	-0.02907000	0.00000000	0.02042000	-0.01274000	0.00000000	0.00608000	-0.00029000
0.90390000	0.17223000	-0.00146000	-0.06999000	0.09293000	0.00000000	-0.09063000	0.08267000	-0.07280000	0.06255000	0.00000000	-0.05281000	0.00000000	0.04352000	-0.03513000	0.00000000	0.02757000	-0.02073000	0.00000000	0.01471000	-0.00932000
0.91013000	0.17403000	-0.00737000	-0.06165000	0.08539000	0.00000000	-0.08496000	0.07893000	-0.07095000	0.06249000	0.00000000	-0.05440000	0.00000000	0.04661000	-0.03954000	0.00000000	0.03315000	-0.02729000	0.00000000	0.02211000	-0.01738000
0.91636000	0.17583000	-0.01331000	-0.05313000	0.07741000	0.00000000	-0.07862000	0.07425000	-0.06790000	0.06101000	0.00000000	-0.05438000	0.00000000	0.04794000	-0.04210000	0.00000000	0.03683000	-0.03196000	0.00000000	0.02768000	-0.02374000
0.92260000	0.17763000	-0.01929000	-0.04442000	0.06904000	0.00000000	-0.07164000	0.06867000	-0.06369000	0.05811000	0.00000000	-0.05271000	0.00000000	0.04742000	-0.04265000	0.00000000	0.03836000	-0.03439000	0.00000000	0.03095000	-0.02777000
0.92883000	0.17943000	-0.02529000	-0.03555000	0.06030000	0.00000000	-0.06406000	0.06224000	-0.05838000	0.05385000	0.00000000	-0.04943000	0.00000000	0.04506000	-0.04112000	0.00000000	0.03761000	-0.03436000	0.00000000	0.03159000	-0.02904000
0.93506000	0.18123000	-0.03132000	-0.02654000	0.05123000	0.00000000	-0.05594000	0.05503000	-0.05203000	0.04830000	0.00000000	-0.04458000	0.00000000	0.04087000	-0.03753000	0.00000000	0.03454000	-0.03178000	0.00000000	0.02945000	-0.02730000
0.93506000	0.18123000	-0.03132000	-0.02654000	0.05123000	0.00000000	-0.05594000	0.05503000	-0.05203000	0.04830000	0.00000000	-0.04458000	0.00000000	0.04087000	-0.03753000	0.00000000	0.03454000	-0.03178000	0.00000000	0.02945000	-0.02730000
1.00000000	0.20000000	-0.09425000	0.06810000	-0.04491000	0.00000000	0.03135000	-0.02394000	0.01927000	-0.01605000	0.00000000	0.01373000	0.00000000	-0.01190000	0.01047000	0.00000000	-0.00933000	0.00836000	0.00000000	-0.00759000	0.00691000
